                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5679,                  3.487,                 1.3472,                0.03738,                0.46118,                0.20972,                0.12632,                      0,                    inf,                      0,               0.070441,              0.0032843,              0.0032843
                      1,                  1.488,                 2.4566,                 1.2595,                0.73765,                0.34224,                 0.3122,                0.18719,                      0,                    inf,                      0,                0.04031,              0.0064866,              0.0064866
                      2,                 1.5076,                 2.0871,                 1.2513,                0.61987,                 0.4435,                0.50247,                0.29232,                      0,                    inf,                      0,               0.010047,              0.0095569,              0.0095569
                      3,                 1.4889,                 1.8937,                 1.2696,                0.66407,                0.56248,                0.58511,                0.33002,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      4,                 1.5214,                 1.7748,                 1.2966,                0.48562,                0.42313,                0.43694,                0.23763,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      5,                 1.4867,                 1.6497,                  1.265,                0.79795,                0.60831,                0.68523,                0.39713,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      6,                 1.4638,                 1.5316,                  1.269,                0.81725,                 0.6035,                0.68958,                 0.4121,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      7,                 1.4552,                 1.4695,                 1.2558,                0.70935,                0.72462,                0.74377,                0.44543,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                 1.4408,                 1.3999,                 1.2405,                0.78189,                0.72351,                0.76748,                0.46383,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                  1.432,                 1.3473,                 1.2437,                0.74931,                0.69142,                0.74749,                0.45154,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                 1.4417,                 1.2976,                 1.2403,                0.78829,                0.75612,                0.77358,                0.48627,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     11,                 1.3754,                 1.2301,                 1.2145,                0.76307,                0.75114,                0.76578,                 0.4728,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     12,                 1.4222,                 1.1989,                 1.2242,                0.87037,                0.69576,                0.74711,                0.44446,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     13,                 1.4091,                 1.1475,                 1.2058,                  0.743,                0.70105,                0.76931,                0.49067,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     14,                 1.3514,                 1.1416,                 1.1961,                0.90754,                0.72033,                0.80328,                0.49122,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     15,                 1.3631,                 1.1144,                 1.2142,                0.76385,                0.77737,                 0.8064,                0.48386,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     16,                 1.3516,                 1.0843,                 1.1867,                0.78197,                0.74365,                0.79378,                 0.4832,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     17,                  1.334,                 1.0613,                 1.2001,                0.86971,                0.77262,                0.83367,                0.52022,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     18,                 1.3208,                 1.0258,                 1.1648,                0.81599,                0.80121,                0.82227,                0.51653,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     19,                 1.3183,                 1.0179,                 1.1824,                0.78959,                0.78067,                0.81062,                0.51455,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     20,                 1.3196,                 1.0028,                 1.1677,                0.80169,                0.81746,                 0.8305,                0.52238,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     21,                 1.2956,                 0.9846,                 1.1672,                0.84545,                0.78434,                0.82575,                0.51779,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     22,                 1.2686,                0.93679,                 1.1383,                0.82612,                 0.8061,                0.82753,                0.53947,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     23,                 1.2864,                0.92314,                 1.1473,                0.84726,                0.81573,                0.84884,                0.53609,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     24,                 1.2776,                0.92808,                 1.1633,                0.83708,                0.83441,                0.84526,                0.53874,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     25,                 1.2596,                  0.932,                 1.1502,                0.85138,                0.83487,                0.85651,                 0.5559,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     26,                 1.2472,                0.90168,                 1.1478,                0.84334,                0.80751,                0.82066,                0.53639,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     27,                 1.2532,                0.88075,                 1.1252,                0.83282,                 0.8415,                0.84998,                0.55723,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     28,                 1.2321,                0.86934,                 1.1407,                0.83118,                0.81671,                0.83743,                0.54896,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     29,                 1.2147,                0.84419,                 1.1115,                0.93703,                0.77022,                0.83797,                0.54547,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     30,                 1.1892,                0.84491,                 1.1192,                0.88534,                0.84044,                0.86511,                0.57266,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     31,                 1.1957,                0.82847,                 1.1111,                0.85745,                0.83326,                0.87176,                0.57364,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     32,                 1.1958,                0.82266,                 1.1116,                0.85157,                0.83839,                0.87463,                0.57078,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     33,                 1.1801,                0.80047,                 1.1062,                0.82278,                0.86287,                0.86788,                0.57627,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     34,                 1.1594,                0.78334,                 1.0984,                 0.8505,                0.82952,                0.86495,                  0.585,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     35,                 1.1767,                0.81448,                 1.1088,                0.86024,                0.85368,                0.87217,                0.58528,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     36,                 1.1561,                0.78395,                 1.0969,                0.82636,                 0.8686,                0.87601,                0.58493,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     37,                 1.1547,                 0.7751,                 1.0917,                0.87465,                0.85564,                0.89029,                0.59335,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     38,                 1.1431,                0.75351,                 1.0843,                0.86215,                  0.869,                0.88928,                0.60055,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     39,                 1.1266,                0.73049,                 1.0815,                0.87889,                0.86683,                0.87853,                 0.5899,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     40,                 1.0601,                0.65314,                 1.0825,                0.84604,                0.87135,                0.87969,                0.58591,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                 1.0434,                0.64169,                 1.0614,                0.88869,                0.86215,                 0.8949,                0.60229,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                 1.0334,                0.62384,                 1.0475,                0.89984,                0.87343,                0.90174,                0.60474,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     43,                 1.0239,                 0.6171,                 1.0515,                0.88676,                 0.8829,                0.90704,                0.60973,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     44,                  1.007,                0.61845,                   1.04,                0.89151,                0.86178,                0.90235,                0.61554,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     45,                0.99108,                0.59868,                 1.0457,                 0.8809,                0.88436,                0.90134,                 0.6212,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     46,                0.98874,                 0.5943,                  1.042,                0.89001,                0.87431,                0.90633,                0.62645,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     47,                0.96018,                0.58126,                 1.0275,                0.88478,                0.88024,                0.90837,                0.62883,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     48,                0.95112,                0.56905,                 1.0246,                0.89831,                0.88572,                0.91489,                0.63222,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     49,                0.96567,                0.57444,                 1.0277,                 0.8978,                0.86742,                0.91476,                0.63481,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
